CustomerID,Lookalikes
C0001,"[('C0107', 0.9993550376906647), ('C0072', 0.9987768952588382), ('C0190', 0.9986570128515178)]"
C0002,"[('C0031', 0.9996340999388222), ('C0025', 0.9985886570683342), ('C0076', 0.995840257618595)]"
C0003,"[('C0178', 0.9999961360887427), ('C0133', 0.9996544462069554), ('C0052', 0.9991746002372716)]"
C0004,"[('C0021', 0.9999788380652345), ('C0173', 0.9990478030167115), ('C0165', 0.9990164483917099)]"
C0005,"[('C0112', 0.9998592708958555), ('C0197', 0.9997171308500848), ('C0186', 0.9980459599013688)]"
C0006,"[('C0073', 0.9952442716905295), ('C0131', 0.994361347887), ('C0135', 0.99368031126202)]"
C0007,"[('C0085', 0.9999935078160307), ('C0120', 0.9997639568358302), ('C0074', 0.99619866322856)]"
C0008,"[('C0113', 0.9850822057114754), ('C0024', 0.9802395680301828), ('C0194', 0.9785031095049181)]"
C0009,"[('C0077', 0.9998716816894867), ('C0083', 0.997604642575368), ('C0010', 0.9893498885438232)]"
C0010,"[('C0029', 0.9999120577582894), ('C0088', 0.9958736904203793), ('C0111', 0.9956863112834976)]"
C0011,"[('C0064', 0.9992569783994234), ('C0137', 0.9983499299871961), ('C0177', 0.9968462515199411)]"
C0012,"[('C0122', 0.9998909072457138), ('C0046', 0.9993609835456325), ('C0136', 0.99663805644511)]"
C0013,"[('C0143', 0.9999931451410498), ('C0099', 0.9975706345006123), ('C0053', 0.99699457115465)]"
C0014,"[('C0151', 0.9971852576067167), ('C0128', 0.9931284921373538), ('C0097', 0.9895489070767114)]"
C0015,"[('C0063', 0.9991186973708963), ('C0123', 0.9989710219075673), ('C0073', 0.9855084910318652)]"
C0016,"[('C0048', 0.9999956210313109), ('C0183', 0.9999953478395556), ('C0107', 0.999483966404943)]"
C0017,"[('C0090', 0.9981795217955928), ('C0004', 0.9979383354720721), ('C0021', 0.9974996845321643)]"
C0018,"[('C0187', 0.9998822678802928), ('C0171', 0.9995524182175011), ('C0064', 0.9971744727189548)]"
C0019,"[('C0047', 0.9993304160846112), ('C0139', 0.9972074881356685), ('C0161', 0.9966766582542929)]"
C0020,"[('C0140', 0.9939441995907041), ('C0095', 0.9807408309640292), ('C0130', 0.9801236570954784)]"
